Vardas                   Pavarde                  ND1       Egz.
Vardas80                 Pavarde80                4         9
Vardas81                 Pavarde81                4         3
Vardas82                 Pavarde82                0         8
Vardas83                 Pavarde83                1         2
Vardas84                 Pavarde84                10        5
Vardas85                 Pavarde85                1         2
Vardas86                 Pavarde86                4         4
Vardas87                 Pavarde87                4         1
Vardas88                 Pavarde88                0         8
Vardas89                 Pavarde89                6         6
Vardas90                 Pavarde90                7         9
Vardas91                 Pavarde91                5         8
Vardas92                 Pavarde92                4         10
Vardas93                 Pavarde93                7         10
Vardas94                 Pavarde94                0         10
Vardas95                 Pavarde95                4         9
Vardas96                 Pavarde96                2         8
Vardas97                 Pavarde97                10        9
Vardas98                 Pavarde98                9         3
Vardas99                 Pavarde99                10        4
Vardas100                Pavarde100               2         0
Vardas101                Pavarde101               2         9
Vardas102                Pavarde102               0         7
Vardas103                Pavarde103               5         7
Vardas104                Pavarde104               2         7
Vardas105                Pavarde105               8         3
Vardas106                Pavarde106               6         5
Vardas107                Pavarde107               10        3
Vardas108                Pavarde108               8         8
Vardas109                Pavarde109               1         9
Vardas110                Pavarde110               0         6
Vardas111                Pavarde111               4         0
Vardas112                Pavarde112               6         2
Vardas113                Pavarde113               2         1
Vardas114                Pavarde114               4         3
Vardas115                Pavarde115               5         3
Vardas116                Pavarde116               9         2
Vardas117                Pavarde117               4         3
Vardas118                Pavarde118               3         3
Vardas119                Pavarde119               1         6
Vardas120                Pavarde120               6         9
Vardas121                Pavarde121               6         8
Vardas122                Pavarde122               5         2
Vardas123                Pavarde123               10        3
Vardas124                Pavarde124               0         10
Vardas125                Pavarde125               4         3
Vardas126                Pavarde126               6         3
Vardas127                Pavarde127               4         2
Vardas128                Pavarde128               3         7
Vardas129                Pavarde129               4         9
Vardas130                Pavarde130               4         4
Vardas131                Pavarde131               7         5
Vardas132                Pavarde132               2         6
Vardas133                Pavarde133               8         4
Vardas134                Pavarde134               0         0
Vardas135                Pavarde135               6         1
Vardas136                Pavarde136               7         2
Vardas137                Pavarde137               8         9
Vardas138                Pavarde138               9         10
Vardas139                Pavarde139               1         6
Vardas140                Pavarde140               9         3
Vardas141                Pavarde141               10        10
Vardas142                Pavarde142               8         7
Vardas143                Pavarde143               5         2
Vardas144                Pavarde144               6         2
Vardas145                Pavarde145               9         4
Vardas146                Pavarde146               0         7
Vardas147                Pavarde147               4         8
Vardas148                Pavarde148               5         7
Vardas149                Pavarde149               0         8
Vardas150                Pavarde150               0         3
Vardas151                Pavarde151               4         10
Vardas152                Pavarde152               1         9
Vardas153                Pavarde153               6         5
Vardas154                Pavarde154               9         0
Vardas155                Pavarde155               8         7
Vardas156                Pavarde156               0         3
Vardas157                Pavarde157               8         8
Vardas158                Pavarde158               3         1
Vardas159                Pavarde159               2         1
Vardas160                Pavarde160               1         10
Vardas161                Pavarde161               3         3
Vardas162                Pavarde162               1         5
Vardas163                Pavarde163               2         10
Vardas164                Pavarde164               4         0
Vardas165                Pavarde165               4         1
Vardas166                Pavarde166               3         5
Vardas167                Pavarde167               9         3
Vardas168                Pavarde168               8         9
Vardas169                Pavarde169               5         7
Vardas170                Pavarde170               7         5
Vardas171                Pavarde171               7         3
Vardas172                Pavarde172               8         7
Vardas173                Pavarde173               9         5
Vardas174                Pavarde174               0         1
Vardas175                Pavarde175               3         5
Vardas176                Pavarde176               2         8
Vardas177                Pavarde177               10        3
Vardas178                Pavarde178               2         7
Vardas179                Pavarde179               7         10
Vardas180                Pavarde180               7         2
Vardas181                Pavarde181               10        5
Vardas182                Pavarde182               6         4
Vardas183                Pavarde183               8         1
Vardas184                Pavarde184               4         10
Vardas185                Pavarde185               3         0
Vardas186                Pavarde186               0         6
Vardas187                Pavarde187               7         6
Vardas188                Pavarde188               6         2
Vardas189                Pavarde189               10        6
Vardas190                Pavarde190               4         3
Vardas191                Pavarde191               3         5
Vardas192                Pavarde192               10        3
Vardas193                Pavarde193               3         4
Vardas194                Pavarde194               6         9
Vardas195                Pavarde195               2         1
Vardas196                Pavarde196               8         3
Vardas197                Pavarde197               1         1
Vardas198                Pavarde198               9         8
Vardas199                Pavarde199               4         3
Vardas200                Pavarde200               10        3
Vardas201                Pavarde201               9         5
Vardas202                Pavarde202               3         3
Vardas203                Pavarde203               8         0
Vardas204                Pavarde204               5         3
Vardas205                Pavarde205               8         3
Vardas206                Pavarde206               0         5
Vardas207                Pavarde207               2         4
Vardas208                Pavarde208               3         5
Vardas209                Pavarde209               10        7
Vardas210                Pavarde210               1         9
Vardas211                Pavarde211               0         5
Vardas212                Pavarde212               3         3
Vardas213                Pavarde213               5         8
Vardas214                Pavarde214               0         8
Vardas215                Pavarde215               3         10
Vardas216                Pavarde216               4         3
Vardas217                Pavarde217               1         7
Vardas218                Pavarde218               1         9
Vardas219                Pavarde219               7         6
Vardas220                Pavarde220               10        6
Vardas221                Pavarde221               7         0
Vardas222                Pavarde222               9         10
Vardas223                Pavarde223               0         0
Vardas224                Pavarde224               9         0
Vardas225                Pavarde225               5         5
Vardas226                Pavarde226               2         8
Vardas227                Pavarde227               8         0
Vardas228                Pavarde228               5         10
Vardas229                Pavarde229               8         9
Vardas230                Pavarde230               6         2
Vardas231                Pavarde231               9         4
Vardas232                Pavarde232               1         10
Vardas233                Pavarde233               2         3
Vardas234                Pavarde234               8         10
Vardas235                Pavarde235               7         10
Vardas236                Pavarde236               6         4
Vardas237                Pavarde237               7         7
Vardas238                Pavarde238               9         5
Vardas239                Pavarde239               6         3
Vardas240                Pavarde240               1         0
Vardas241                Pavarde241               4         1
Vardas242                Pavarde242               3         9
Vardas243                Pavarde243               6         5
Vardas244                Pavarde244               10        7
Vardas245                Pavarde245               6         3
Vardas246                Pavarde246               9         5
Vardas247                Pavarde247               8         7
Vardas248                Pavarde248               6         2
Vardas249                Pavarde249               1         8
Vardas250                Pavarde250               2         1
Vardas251                Pavarde251               3         0
Vardas252                Pavarde252               9         6
Vardas253                Pavarde253               0         9
Vardas254                Pavarde254               5         1
Vardas255                Pavarde255               1         2
Vardas256                Pavarde256               9         1
Vardas257                Pavarde257               4         7
Vardas258                Pavarde258               0         7
Vardas259                Pavarde259               4         6
Vardas260                Pavarde260               0         2
Vardas261                Pavarde261               3         3
Vardas262                Pavarde262               6         0
Vardas263                Pavarde263               3         6
Vardas264                Pavarde264               6         8
Vardas265                Pavarde265               10        7
Vardas266                Pavarde266               5         2
Vardas267                Pavarde267               2         6
Vardas268                Pavarde268               7         5
Vardas269                Pavarde269               5         6
Vardas270                Pavarde270               6         3
Vardas271                Pavarde271               2         5
Vardas272                Pavarde272               4         5
Vardas273                Pavarde273               8         9
Vardas274                Pavarde274               5         8
Vardas275                Pavarde275               9         4
Vardas276                Pavarde276               2         5
Vardas277                Pavarde277               6         4
Vardas278                Pavarde278               10        0
Vardas279                Pavarde279               1         9
Vardas280                Pavarde280               7         1
Vardas281                Pavarde281               1         6
Vardas282                Pavarde282               6         1
Vardas283                Pavarde283               1         0
Vardas284                Pavarde284               4         8
Vardas285                Pavarde285               10        9
Vardas286                Pavarde286               5         4
Vardas287                Pavarde287               10        10
Vardas288                Pavarde288               7         10
Vardas289                Pavarde289               9         5
Vardas290                Pavarde290               1         1
Vardas291                Pavarde291               6         8
Vardas292                Pavarde292               1         8
Vardas293                Pavarde293               4         4
Vardas294                Pavarde294               9         10
Vardas295                Pavarde295               3         0
Vardas296                Pavarde296               10        0
Vardas297                Pavarde297               8         7
Vardas298                Pavarde298               3         1
Vardas299                Pavarde299               8         5
Vardas300                Pavarde300               6         7
Vardas301                Pavarde301               7         0
Vardas302                Pavarde302               3         6
Vardas303                Pavarde303               2         0
Vardas304                Pavarde304               2         1
Vardas305                Pavarde305               1         10
Vardas306                Pavarde306               7         0
Vardas307                Pavarde307               0         10
Vardas308                Pavarde308               10        9
Vardas309                Pavarde309               0         2
Vardas310                Pavarde310               1         0
Vardas311                Pavarde311               1         3
Vardas312                Pavarde312               1         4
Vardas313                Pavarde313               6         3
Vardas314                Pavarde314               1         7
Vardas315                Pavarde315               7         3
Vardas316                Pavarde316               8         6
Vardas317                Pavarde317               5         2
Vardas318                Pavarde318               1         7
Vardas319                Pavarde319               0         2
Vardas320                Pavarde320               3         1
Vardas321                Pavarde321               10        1
Vardas322                Pavarde322               0         5
Vardas323                Pavarde323               1         9
Vardas324                Pavarde324               5         2
Vardas325                Pavarde325               9         2
Vardas326                Pavarde326               0         2
Vardas327                Pavarde327               1         7
Vardas328                Pavarde328               0         6
Vardas329                Pavarde329               5         4
Vardas330                Pavarde330               8         2
Vardas331                Pavarde331               9         7
Vardas332                Pavarde332               10        2
Vardas333                Pavarde333               2         9
Vardas334                Pavarde334               6         4
Vardas335                Pavarde335               3         1
Vardas336                Pavarde336               3         0
Vardas337                Pavarde337               3         0
Vardas338                Pavarde338               3         10
Vardas339                Pavarde339               10        7
Vardas340                Pavarde340               1         2
Vardas341                Pavarde341               2         10
Vardas342                Pavarde342               0         8
Vardas343                Pavarde343               0         3
Vardas344                Pavarde344               0         0
Vardas345                Pavarde345               0         3
Vardas346                Pavarde346               9         2
Vardas347                Pavarde347               1         6
Vardas348                Pavarde348               10        4
Vardas349                Pavarde349               1         5
Vardas350                Pavarde350               2         3
Vardas351                Pavarde351               4         6
Vardas352                Pavarde352               0         4
Vardas353                Pavarde353               4         4
Vardas354                Pavarde354               8         0
Vardas355                Pavarde355               2         8
Vardas356                Pavarde356               6         9
Vardas357                Pavarde357               10        2
Vardas358                Pavarde358               7         10
Vardas359                Pavarde359               3         2
Vardas360                Pavarde360               0         10
Vardas361                Pavarde361               1         1
Vardas362                Pavarde362               3         8
Vardas363                Pavarde363               10        9
Vardas364                Pavarde364               10        1
Vardas365                Pavarde365               9         1
Vardas366                Pavarde366               10        5
Vardas367                Pavarde367               1         6
Vardas368                Pavarde368               4         6
Vardas369                Pavarde369               4         9
Vardas370                Pavarde370               7         7
Vardas371                Pavarde371               0         5
Vardas372                Pavarde372               7         4
Vardas373                Pavarde373               2         0
Vardas374                Pavarde374               6         10
Vardas375                Pavarde375               4         9
Vardas376                Pavarde376               0         1
Vardas377                Pavarde377               9         5
Vardas378                Pavarde378               10        1
Vardas379                Pavarde379               10        7
Vardas380                Pavarde380               2         8
Vardas381                Pavarde381               6         9
Vardas382                Pavarde382               6         3
Vardas383                Pavarde383               8         1
Vardas384                Pavarde384               2         6
Vardas385                Pavarde385               1         5
Vardas386                Pavarde386               2         0
Vardas387                Pavarde387               9         9
Vardas388                Pavarde388               6         4
Vardas389                Pavarde389               2         5
Vardas390                Pavarde390               7         8
Vardas391                Pavarde391               9         2
Vardas392                Pavarde392               3         8
Vardas393                Pavarde393               0         0
Vardas394                Pavarde394               3         10
Vardas395                Pavarde395               1         10
Vardas396                Pavarde396               3         5
Vardas397                Pavarde397               1         9
Vardas398                Pavarde398               6         6
Vardas399                Pavarde399               6         5
Vardas400                Pavarde400               4         9
Vardas401                Pavarde401               5         3
Vardas402                Pavarde402               2         5
Vardas403                Pavarde403               2         6
Vardas404                Pavarde404               0         10
Vardas405                Pavarde405               10        1
Vardas406                Pavarde406               8         4
Vardas407                Pavarde407               6         9
Vardas408                Pavarde408               3         5
Vardas409                Pavarde409               9         10
Vardas410                Pavarde410               6         8
Vardas411                Pavarde411               6         8
Vardas412                Pavarde412               0         8
Vardas413                Pavarde413               4         6
Vardas414                Pavarde414               9         3
Vardas415                Pavarde415               2         7
Vardas416                Pavarde416               4         2
Vardas417                Pavarde417               4         6
Vardas418                Pavarde418               0         5
Vardas419                Pavarde419               1         4
Vardas420                Pavarde420               1         5
Vardas421                Pavarde421               4         9
Vardas422                Pavarde422               9         4
Vardas423                Pavarde423               2         8
Vardas424                Pavarde424               8         8
Vardas425                Pavarde425               9         4
Vardas426                Pavarde426               5         3
Vardas427                Pavarde427               5         7
Vardas428                Pavarde428               10        9
Vardas429                Pavarde429               4         7
Vardas430                Pavarde430               2         8
Vardas431                Pavarde431               6         2
Vardas432                Pavarde432               9         2
Vardas433                Pavarde433               6         6
Vardas434                Pavarde434               4         3
Vardas435                Pavarde435               5         3
Vardas436                Pavarde436               7         8
Vardas437                Pavarde437               6         1
Vardas438                Pavarde438               1         9
Vardas439                Pavarde439               0         4
Vardas440                Pavarde440               2         1
Vardas441                Pavarde441               4         9
Vardas442                Pavarde442               7         8
Vardas443                Pavarde443               7         2
Vardas444                Pavarde444               2         1
Vardas445                Pavarde445               6         2
Vardas446                Pavarde446               1         8
Vardas447                Pavarde447               0         2
Vardas448                Pavarde448               5         3
Vardas449                Pavarde449               8         2
Vardas450                Pavarde450               7         2
Vardas451                Pavarde451               1         6
Vardas452                Pavarde452               4         5
Vardas453                Pavarde453               0         1
Vardas454                Pavarde454               5         2
Vardas455                Pavarde455               8         10
Vardas456                Pavarde456               4         0
Vardas457                Pavarde457               0         2
Vardas458                Pavarde458               6         10
Vardas459                Pavarde459               10        9
Vardas460                Pavarde460               9         10
Vardas461                Pavarde461               9         8
Vardas462                Pavarde462               0         1
Vardas463                Pavarde463               10        10
Vardas464                Pavarde464               10        5
Vardas465                Pavarde465               3         5
Vardas466                Pavarde466               9         4
Vardas467                Pavarde467               1         1
Vardas468                Pavarde468               5         10
Vardas469                Pavarde469               6         2
Vardas470                Pavarde470               6         6
Vardas471                Pavarde471               1         0
Vardas472                Pavarde472               5         3
Vardas473                Pavarde473               7         3
Vardas474                Pavarde474               3         4
Vardas475                Pavarde475               4         7
Vardas476                Pavarde476               2         7
Vardas477                Pavarde477               10        7
Vardas478                Pavarde478               2         0
Vardas479                Pavarde479               10        7
Vardas480                Pavarde480               6         9
Vardas481                Pavarde481               7         0
Vardas482                Pavarde482               0         6
Vardas483                Pavarde483               9         5
Vardas484                Pavarde484               7         7
Vardas485                Pavarde485               9         2
Vardas486                Pavarde486               2         6
Vardas487                Pavarde487               7         10
Vardas488                Pavarde488               5         1
Vardas489                Pavarde489               6         7
Vardas490                Pavarde490               8         3
Vardas491                Pavarde491               3         4
Vardas492                Pavarde492               9         7
Vardas493                Pavarde493               8         1
Vardas494                Pavarde494               4         5
Vardas495                Pavarde495               9         6
Vardas496                Pavarde496               8         7
Vardas497                Pavarde497               2         6
Vardas498                Pavarde498               4         8
Vardas499                Pavarde499               2         4
Vardas500                Pavarde500               4         1
