Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas48                 Pavarde48                6         8         10        7         5         2         2         6         7         5         5
Vardas49                 Pavarde49                6         6         3         2         5         4         5         8         9         5         8
Vardas50                 Pavarde50                9         4         2         5         6         4         10        0         1         9         7
Vardas51                 Pavarde51                1         1         6         6         1         1         0         4         8         10        9
Vardas52                 Pavarde52                5         4         10        10        7         10        9         5         1         1         6
Vardas53                 Pavarde53                8         1         8         4         4         9         10        3         0         10        0
Vardas54                 Pavarde54                8         7         3         1         8         5         6         7         7         0         3
Vardas55                 Pavarde55                6         2         0         2         1         1         10        7         0         0         10
Vardas56                 Pavarde56                10        9         0         2         1         0         1         3         1         4         6
Vardas57                 Pavarde57                3         1         7         7         3         8         6         5         2         1         7
Vardas58                 Pavarde58                0         2         3         1         10        1         0         5         1         9         5
Vardas59                 Pavarde59                2         9         2         0         2         1         7         0         6         5         4
Vardas60                 Pavarde60                8         2         9         7         10        2         2         9         6         4         3
Vardas61                 Pavarde61                1         3         0         3         0         3         10        10        7         1         2
Vardas62                 Pavarde62                2         10        0         8         0         3         0         0         0         3         9
Vardas63                 Pavarde63                2         1         6         10        4         1         5         2         3         4         6
Vardas64                 Pavarde64                0         4         4         4         8         0         2         8         6         9         10
Vardas65                 Pavarde65                2         7         10        3         2         0         10        1         1         3         8
Vardas66                 Pavarde66                10        9         10        1         9         1         10        5         1         6         4
Vardas67                 Pavarde67                6         4         9         7         7         0         5         7         4         2         0
Vardas68                 Pavarde68                6         10        4         9         0         1         9         5         10        1         10
Vardas69                 Pavarde69                7         2         8         6         9         6         3         8         1         2         6
Vardas70                 Pavarde70                1         5         2         0         9         9         6         4         2         5         7
Vardas71                 Pavarde71                8         9         2         3         8         0         0         3         10        1         10
Vardas72                 Pavarde72                3         5         1         9         6         6         6         5         4         9         5
Vardas73                 Pavarde73                3         2         5         2         6         0         10        10        1         8         4
Vardas74                 Pavarde74                6         9         3         5         9         10        6         8         6         8         0
Vardas75                 Pavarde75                8         4         6         9         3         2         7         4         2         4         6
Vardas76                 Pavarde76                0         5         1         4         1         5         4         9         9         4         2
Vardas77                 Pavarde77                8         8         8         9         4         5         3         5         7         10        9
Vardas78                 Pavarde78                4         7         2         8         6         2         9         2         6         6         4
Vardas79                 Pavarde79                3         5         3         7         8         6         1         1         9         0         4
Vardas80                 Pavarde80                2         1         4         9         7         8         7         2         2         1         6
Vardas81                 Pavarde81                2         1         8         0         2         5         3         8         2         7         2
Vardas82                 Pavarde82                1         6         4         5         0         1         5         2         8         10        4
Vardas83                 Pavarde83                0         0         2         6         10        10        9         9         10        9         8
Vardas84                 Pavarde84                0         1         10        10        10        5         3         5         9         4         1
Vardas85                 Pavarde85                1         5         10        6         2         6         6         1         0         5         3
Vardas86                 Pavarde86                7         3         3         4         4         7         2         7         10        7         2
Vardas87                 Pavarde87                0         10        7         6         9         7         0         0         6         9         5
Vardas88                 Pavarde88                7         7         9         2         2         6         7         10        5         1         6
Vardas89                 Pavarde89                7         8         3         3         4         9         7         8         1         4         5
Vardas90                 Pavarde90                9         6         8         7         2         6         4         8         2         4         4
Vardas91                 Pavarde91                1         2         8         6         2         5         7         9         3         3         1
Vardas92                 Pavarde92                2         2         7         7         6         3         9         9         3         10        10
Vardas93                 Pavarde93                4         1         2         9         9         9         3         3         7         4         9
Vardas94                 Pavarde94                10        2         0         0         9         6         6         2         5         1         3
Vardas95                 Pavarde95                7         2         9         8         8         5         8         9         8         9         9
Vardas96                 Pavarde96                2         10        6         1         2         2         4         3         2         5         0
Vardas97                 Pavarde97                7         6         0         2         9         8         1         0         3         5         10
Vardas98                 Pavarde98                6         2         2         6         1         6         3         0         10        8         5
Vardas99                 Pavarde99                3         5         2         1         5         5         4         9         0         7         4
Vardas100                Pavarde100               4         2         4         4         5         9         3         10        1         1         8
