Pavarde             Vardas              Galutinis (Vid.) 
Pavarde1239         Vardas1239          6                  
Pavarde124          Vardas124           7                  
Pavarde1243         Vardas1243          5                  
Pavarde1245         Vardas1245          7                  
Pavarde1246         Vardas1246          5                  
Pavarde125          Vardas125           7                  
Pavarde1250         Vardas1250          5                  
Pavarde1251         Vardas1251          7                  
Pavarde1254         Vardas1254          5                  
Pavarde1255         Vardas1255          5                  
Pavarde1256         Vardas1256          6                  
Pavarde1259         Vardas1259          5                  
Pavarde1262         Vardas1262          5                  
Pavarde1263         Vardas1263          7                  
Pavarde1264         Vardas1264          5                  
Pavarde1267         Vardas1267          7                  
Pavarde1270         Vardas1270          7                  
Pavarde1273         Vardas1273          6                  
Pavarde1274         Vardas1274          6                  
Pavarde1277         Vardas1277          7                  
Pavarde128          Vardas128           7                  
Pavarde1281         Vardas1281          7                  
Pavarde1283         Vardas1283          5                  
Pavarde1284         Vardas1284          7                  
Pavarde1289         Vardas1289          6                  
Pavarde129          Vardas129           7                  
Pavarde1290         Vardas1290          7                  
Pavarde1296         Vardas1296          8                  
Pavarde1298         Vardas1298          8                  
Pavarde130          Vardas130           6                  
Pavarde1302         Vardas1302          5                  
Pavarde1303         Vardas1303          7                  
Pavarde1304         Vardas1304          6                  
Pavarde1305         Vardas1305          7                  
Pavarde1307         Vardas1307          5                  
Pavarde1308         Vardas1308          7                  
Pavarde1310         Vardas1310          4                  
Pavarde1311         Vardas1311          5                  
Pavarde1312         Vardas1312          6                  
Pavarde1313         Vardas1313          7                  
Pavarde1314         Vardas1314          5                  
Pavarde1315         Vardas1315          8                  
Pavarde1317         Vardas1317          7                  
Pavarde1318         Vardas1318          7                  
Pavarde132          Vardas132           7                  
Pavarde1320         Vardas1320          7                  
Pavarde1322         Vardas1322          5                  
Pavarde1323         Vardas1323          5                  
Pavarde1324         Vardas1324          6                  
Pavarde1326         Vardas1326          5                  
Pavarde1327         Vardas1327          4                  
Pavarde133          Vardas133           6                  
Pavarde1330         Vardas1330          7                  
Pavarde1331         Vardas1331          6                  
Pavarde1332         Vardas1332          5                  
Pavarde1334         Vardas1334          7                  
Pavarde1335         Vardas1335          5                  
Pavarde1336         Vardas1336          5                  
Pavarde1337         Vardas1337          5                  
Pavarde1338         Vardas1338          5                  
Pavarde1339         Vardas1339          6                  
Pavarde1340         Vardas1340          6                  
Pavarde1342         Vardas1342          7                  
Pavarde1345         Vardas1345          6                  
Pavarde1346         Vardas1346          5                  
Pavarde1348         Vardas1348          7                  
Pavarde1349         Vardas1349          6                  
Pavarde1350         Vardas1350          6                  
Pavarde1351         Vardas1351          7                  
Pavarde1352         Vardas1352          5                  
Pavarde1354         Vardas1354          5                  
Pavarde1355         Vardas1355          6                  
Pavarde1358         Vardas1358          6                  
Pavarde136          Vardas136           5                  
Pavarde1361         Vardas1361          7                  
Pavarde1363         Vardas1363          8                  
Pavarde1367         Vardas1367          4                  
Pavarde1369         Vardas1369          6                  
Pavarde137          Vardas137           7                  
Pavarde1370         Vardas1370          5                  
Pavarde1371         Vardas1371          7                  
Pavarde1372         Vardas1372          5                  
Pavarde1374         Vardas1374          6                  
Pavarde1375         Vardas1375          5                  
Pavarde1378         Vardas1378          6                  
Pavarde1379         Vardas1379          6                  
Pavarde1385         Vardas1385          7                  
Pavarde1386         Vardas1386          8                  
Pavarde1387         Vardas1387          8                  
Pavarde1388         Vardas1388          8                  
Pavarde1389         Vardas1389          6                  
Pavarde139          Vardas139           6                  
Pavarde1390         Vardas1390          5                  
Pavarde1392         Vardas1392          6                  
Pavarde1393         Vardas1393          6                  
Pavarde1395         Vardas1395          5                  
Pavarde1396         Vardas1396          6                  
Pavarde1398         Vardas1398          8                  
Pavarde1401         Vardas1401          7                  
Pavarde1402         Vardas1402          7                  
Pavarde1405         Vardas1405          6                  
Pavarde1407         Vardas1407          6                  
Pavarde1408         Vardas1408          7                  
Pavarde1415         Vardas1415          5                  
Pavarde1416         Vardas1416          7                  
Pavarde1418         Vardas1418          7                  
Pavarde1419         Vardas1419          6                  
Pavarde142          Vardas142           5                  
Pavarde1421         Vardas1421          7                  
Pavarde1422         Vardas1422          5                  
Pavarde1424         Vardas1424          5                  
Pavarde1425         Vardas1425          5                  
Pavarde1426         Vardas1426          6                  
Pavarde1427         Vardas1427          7                  
Pavarde1428         Vardas1428          5                  
Pavarde1429         Vardas1429          7                  
Pavarde143          Vardas143           8                  
Pavarde1430         Vardas1430          5                  
Pavarde1431         Vardas1431          7                  
Pavarde1434         Vardas1434          6                  
Pavarde1436         Vardas1436          6                  
Pavarde1437         Vardas1437          6                  
Pavarde1438         Vardas1438          7                  
Pavarde1440         Vardas1440          6                  
Pavarde1444         Vardas1444          6                  
Pavarde1445         Vardas1445          7                  
Pavarde1449         Vardas1449          6                  
Pavarde1450         Vardas1450          8                  
Pavarde1454         Vardas1454          7                  
Pavarde146          Vardas146           7                  
Pavarde1462         Vardas1462          5                  
Pavarde1464         Vardas1464          6                  
Pavarde1466         Vardas1466          5                  
Pavarde1469         Vardas1469          5                  
Pavarde1470         Vardas1470          7                  
Pavarde1471         Vardas1471          7                  
Pavarde1472         Vardas1472          7                  
Pavarde1475         Vardas1475          6                  
Pavarde1477         Vardas1477          7                  
Pavarde1478         Vardas1478          8                  
Pavarde148          Vardas148           5                  
Pavarde1481         Vardas1481          7                  
Pavarde1483         Vardas1483          6                  
Pavarde1484         Vardas1484          7                  
Pavarde1489         Vardas1489          7                  
Pavarde1490         Vardas1490          7                  
Pavarde1491         Vardas1491          7                  
Pavarde1494         Vardas1494          7                  
Pavarde1497         Vardas1497          6                  
Pavarde1498         Vardas1498          7                  
Pavarde1499         Vardas1499          6                  
Pavarde150          Vardas150           5                  
Pavarde1500         Vardas1500          6                  
Pavarde1501         Vardas1501          6                  
Pavarde1503         Vardas1503          5                  
Pavarde1505         Vardas1505          5                  
Pavarde1507         Vardas1507          6                  
Pavarde1508         Vardas1508          8                  
Pavarde151          Vardas151           7                  
Pavarde1512         Vardas1512          5                  
Pavarde1514         Vardas1514          8                  
Pavarde1515         Vardas1515          6                  
Pavarde1517         Vardas1517          5                  
Pavarde152          Vardas152           8                  
Pavarde1521         Vardas1521          6                  
Pavarde1522         Vardas1522          6                  
Pavarde1523         Vardas1523          5                  
Pavarde1524         Vardas1524          5                  
Pavarde1525         Vardas1525          8                  
Pavarde153          Vardas153           7                  
Pavarde1531         Vardas1531          6                  
Pavarde1532         Vardas1532          5                  
Pavarde1533         Vardas1533          6                  
Pavarde1534         Vardas1534          7                  
Pavarde1536         Vardas1536          6                  
Pavarde1539         Vardas1539          6                  
Pavarde154          Vardas154           6                  
Pavarde1540         Vardas1540          6                  
Pavarde1543         Vardas1543          7                  
Pavarde1544         Vardas1544          6                  
Pavarde1545         Vardas1545          7                  
Pavarde1547         Vardas1547          7                  
Pavarde1548         Vardas1548          7                  
Pavarde1549         Vardas1549          6                  
Pavarde155          Vardas155           5                  
Pavarde1552         Vardas1552          7                  
Pavarde1554         Vardas1554          5                  
Pavarde1556         Vardas1556          5                  
Pavarde1557         Vardas1557          7                  
Pavarde1558         Vardas1558          7                  
Pavarde1560         Vardas1560          6                  
Pavarde1561         Vardas1561          7                  
Pavarde1562         Vardas1562          6                  
Pavarde1564         Vardas1564          6                  
Pavarde1565         Vardas1565          7                  
Pavarde1566         Vardas1566          6                  
Pavarde1567         Vardas1567          5                  
Pavarde1569         Vardas1569          6                  
Pavarde1572         Vardas1572          5                  
Pavarde1573         Vardas1573          6                  
Pavarde1574         Vardas1574          6                  
Pavarde1575         Vardas1575          6                  
Pavarde1577         Vardas1577          5                  
Pavarde1578         Vardas1578          7                  
Pavarde1580         Vardas1580          6                  
Pavarde1581         Vardas1581          8                  
Pavarde1585         Vardas1585          8                  
Pavarde1587         Vardas1587          6                  
Pavarde159          Vardas159           6                  
Pavarde1591         Vardas1591          8                  
Pavarde1594         Vardas1594          5                  
Pavarde1596         Vardas1596          7                  
Pavarde1597         Vardas1597          6                  
Pavarde1598         Vardas1598          8                  
Pavarde1599         Vardas1599          5                  
Pavarde16           Vardas16            6                  
Pavarde160          Vardas160           7                  
Pavarde1601         Vardas1601          5                  
Pavarde1604         Vardas1604          5                  
Pavarde1608         Vardas1608          5                  
Pavarde1611         Vardas1611          7                  
Pavarde1612         Vardas1612          6                  
Pavarde1613         Vardas1613          7                  
Pavarde1614         Vardas1614          6                  
Pavarde1615         Vardas1615          5                  
Pavarde1617         Vardas1617          6                  
Pavarde1618         Vardas1618          6                  
Pavarde1619         Vardas1619          6                  
Pavarde162          Vardas162           7                  
Pavarde1620         Vardas1620          5                  
Pavarde1622         Vardas1622          6                  
Pavarde1623         Vardas1623          6                  
Pavarde1624         Vardas1624          6                  
Pavarde1625         Vardas1625          6                  
Pavarde163          Vardas163           5                  
Pavarde1632         Vardas1632          7                  
Pavarde1636         Vardas1636          7                  
Pavarde1639         Vardas1639          7                  
Pavarde164          Vardas164           7                  
Pavarde1641         Vardas1641          5                  
Pavarde1643         Vardas1643          6                  
Pavarde1645         Vardas1645          8                  
Pavarde1646         Vardas1646          8                  
Pavarde1647         Vardas1647          8                  
Pavarde1649         Vardas1649          6                  
Pavarde165          Vardas165           7                  
Pavarde1650         Vardas1650          7                  
Pavarde1652         Vardas1652          5                  
Pavarde1653         Vardas1653          6                  
Pavarde1654         Vardas1654          6                  
Pavarde1656         Vardas1656          5                  
Pavarde1657         Vardas1657          7                  
Pavarde1658         Vardas1658          5                  
Pavarde1660         Vardas1660          6                  
Pavarde1662         Vardas1662          6                  
Pavarde1663         Vardas1663          7                  
Pavarde1664         Vardas1664          6                  
Pavarde1667         Vardas1667          5                  
Pavarde1668         Vardas1668          7                  
Pavarde1670         Vardas1670          7                  
Pavarde1672         Vardas1672          7                  
Pavarde1674         Vardas1674          7                  
Pavarde1676         Vardas1676          7                  
Pavarde1677         Vardas1677          7                  
Pavarde1679         Vardas1679          5                  
Pavarde168          Vardas168           6                  
Pavarde1680         Vardas1680          6                  
Pavarde1681         Vardas1681          5                  
Pavarde1684         Vardas1684          8                  
Pavarde1685         Vardas1685          6                  
Pavarde1686         Vardas1686          5                  
Pavarde1688         Vardas1688          5                  
Pavarde1689         Vardas1689          7                  
Pavarde169          Vardas169           5                  
Pavarde1697         Vardas1697          7                  
Pavarde1698         Vardas1698          8                  
Pavarde1701         Vardas1701          5                  
Pavarde1702         Vardas1702          5                  
Pavarde1705         Vardas1705          7                  
Pavarde1706         Vardas1706          7                  
Pavarde1708         Vardas1708          8                  
Pavarde1709         Vardas1709          6                  
Pavarde171          Vardas171           6                  
Pavarde1710         Vardas1710          5                  
Pavarde1711         Vardas1711          5                  
Pavarde1712         Vardas1712          5                  
Pavarde1714         Vardas1714          6                  
Pavarde1717         Vardas1717          6                  
Pavarde1718         Vardas1718          7                  
Pavarde1719         Vardas1719          5                  
Pavarde1720         Vardas1720          7                  
Pavarde1722         Vardas1722          7                  
Pavarde1723         Vardas1723          7                  
Pavarde1724         Vardas1724          6                  
Pavarde1725         Vardas1725          7                  
Pavarde1727         Vardas1727          5                  
Pavarde1734         Vardas1734          5                  
Pavarde1735         Vardas1735          5                  
Pavarde1737         Vardas1737          7                  
Pavarde1738         Vardas1738          6                  
Pavarde1739         Vardas1739          8                  
Pavarde174          Vardas174           6                  
Pavarde1741         Vardas1741          6                  
Pavarde1744         Vardas1744          7                  
Pavarde1745         Vardas1745          5                  
Pavarde1746         Vardas1746          7                  
Pavarde1747         Vardas1747          6                  
Pavarde175          Vardas175           6                  
Pavarde1750         Vardas1750          6                  
Pavarde1753         Vardas1753          7                  
Pavarde1754         Vardas1754          7                  
Pavarde1755         Vardas1755          8                  
Pavarde1758         Vardas1758          6                  
Pavarde176          Vardas176           5                  
Pavarde1761         Vardas1761          7                  
Pavarde1762         Vardas1762          7                  
Pavarde1763         Vardas1763          5                  
Pavarde1765         Vardas1765          7                  
Pavarde1766         Vardas1766          5                  
Pavarde1767         Vardas1767          7                  
Pavarde1768         Vardas1768          7                  
Pavarde1769         Vardas1769          7                  
Pavarde177          Vardas177           7                  
Pavarde1770         Vardas1770          5                  
Pavarde1771         Vardas1771          7                  
Pavarde1774         Vardas1774          6                  
Pavarde1775         Vardas1775          7                  
Pavarde1776         Vardas1776          7                  
Pavarde1778         Vardas1778          7                  
Pavarde1782         Vardas1782          5                  
Pavarde1783         Vardas1783          5                  
Pavarde1785         Vardas1785          6                  
Pavarde1786         Vardas1786          6                  
Pavarde1788         Vardas1788          7                  
Pavarde1789         Vardas1789          6                  
Pavarde179          Vardas179           7                  
Pavarde1793         Vardas1793          6                  
Pavarde1794         Vardas1794          6                  
Pavarde1795         Vardas1795          7                  
Pavarde1796         Vardas1796          7                  
Pavarde1797         Vardas1797          8                  
Pavarde1798         Vardas1798          5                  
Pavarde1799         Vardas1799          7                  
Pavarde1801         Vardas1801          7                  
Pavarde1802         Vardas1802          5                  
Pavarde1803         Vardas1803          7                  
Pavarde1804         Vardas1804          6                  
Pavarde1805         Vardas1805          8                  
Pavarde1808         Vardas1808          7                  
Pavarde1809         Vardas1809          5                  
Pavarde1810         Vardas1810          6                  
Pavarde1811         Vardas1811          6                  
Pavarde1812         Vardas1812          6                  
Pavarde1816         Vardas1816          7                  
Pavarde1818         Vardas1818          8                  
Pavarde1819         Vardas1819          5                  
Pavarde1821         Vardas1821          7                  
Pavarde1822         Vardas1822          7                  
Pavarde1823         Vardas1823          6                  
Pavarde1825         Vardas1825          6                  
Pavarde1826         Vardas1826          8                  
Pavarde1827         Vardas1827          6                  
Pavarde183          Vardas183           6                  
Pavarde1832         Vardas1832          7                  
Pavarde1833         Vardas1833          6                  
Pavarde1838         Vardas1838          7                  
Pavarde1840         Vardas1840          7                  
Pavarde1841         Vardas1841          6                  
Pavarde1844         Vardas1844          7                  
Pavarde1845         Vardas1845          7                  
Pavarde1846         Vardas1846          5                  
Pavarde1847         Vardas1847          5                  
Pavarde1848         Vardas1848          6                  
Pavarde185          Vardas185           7                  
Pavarde1851         Vardas1851          6                  
Pavarde1852         Vardas1852          7                  
Pavarde1853         Vardas1853          5                  
Pavarde1855         Vardas1855          7                  
Pavarde1856         Vardas1856          6                  
Pavarde1857         Vardas1857          5                  
Pavarde186          Vardas186           6                  
Pavarde1860         Vardas1860          5                  
Pavarde1863         Vardas1863          6                  
Pavarde1865         Vardas1865          8                  
Pavarde1867         Vardas1867          6                  
Pavarde1868         Vardas1868          5                  
Pavarde1869         Vardas1869          6                  
Pavarde187          Vardas187           5                  
Pavarde1870         Vardas1870          5                  
Pavarde1872         Vardas1872          7                  
Pavarde1873         Vardas1873          5                  
Pavarde1876         Vardas1876          8                  
Pavarde188          Vardas188           7                  
Pavarde1880         Vardas1880          7                  
Pavarde1883         Vardas1883          5                  
Pavarde1885         Vardas1885          5                  
Pavarde1886         Vardas1886          8                  
Pavarde1887         Vardas1887          6                  
Pavarde1889         Vardas1889          7                  
Pavarde1891         Vardas1891          6                  
Pavarde1892         Vardas1892          7                  
Pavarde1893         Vardas1893          6                  
Pavarde1897         Vardas1897          5                  
Pavarde1898         Vardas1898          8                  
Pavarde19           Vardas19            7                  
Pavarde1904         Vardas1904          6                  
Pavarde1905         Vardas1905          7                  
Pavarde1907         Vardas1907          7                  
Pavarde1909         Vardas1909          6                  
Pavarde1910         Vardas1910          8                  
Pavarde1913         Vardas1913          5                  
Pavarde1914         Vardas1914          7                  
Pavarde1916         Vardas1916          7                  
Pavarde1918         Vardas1918          5                  
Pavarde1919         Vardas1919          5                  
Pavarde192          Vardas192           6                  
Pavarde1920         Vardas1920          5                  
Pavarde1925         Vardas1925          7                  
Pavarde1929         Vardas1929          5                  
Pavarde1930         Vardas1930          7                  
Pavarde1933         Vardas1933          6                  
Pavarde1934         Vardas1934          7                  
Pavarde1938         Vardas1938          5                  
Pavarde1939         Vardas1939          7                  
Pavarde194          Vardas194           5                  
Pavarde1942         Vardas1942          6                  
Pavarde1943         Vardas1943          8                  
Pavarde1945         Vardas1945          6                  
Pavarde1947         Vardas1947          6                  
Pavarde1950         Vardas1950          8                  
Pavarde1952         Vardas1952          5                  
Pavarde1953         Vardas1953          5                  
Pavarde1954         Vardas1954          5                  
Pavarde1955         Vardas1955          6                  
Pavarde1956         Vardas1956          6                  
Pavarde1958         Vardas1958          7                  
Pavarde1959         Vardas1959          6                  
Pavarde1962         Vardas1962          7                  
Pavarde1966         Vardas1966          5                  
Pavarde197          Vardas197           7                  
Pavarde1975         Vardas1975          7                  
Pavarde1979         Vardas1979          6                  
Pavarde1984         Vardas1984          5                  
Pavarde1986         Vardas1986          6                  
Pavarde1991         Vardas1991          8                  
Pavarde1993         Vardas1993          5                  
Pavarde1995         Vardas1995          5                  
Pavarde1998         Vardas1998          7                  
Pavarde1999         Vardas1999          7                  
Pavarde200          Vardas200           6                  
Pavarde2000         Vardas2000          6                  
Pavarde2002         Vardas2002          6                  
Pavarde2004         Vardas2004          4                  
Pavarde2010         Vardas2010          6                  
Pavarde2014         Vardas2014          7                  
Pavarde2022         Vardas2022          7                  
Pavarde2023         Vardas2023          8                  
Pavarde2024         Vardas2024          5                  
Pavarde2025         Vardas2025          8                  
Pavarde2026         Vardas2026          7                  
Pavarde2029         Vardas2029          4                  
Pavarde2031         Vardas2031          7                  
Pavarde2032         Vardas2032          5                  
Pavarde2033         Vardas2033          7                  
Pavarde2034         Vardas2034          7                  
Pavarde2037         Vardas2037          7                  
Pavarde204          Vardas204           7                  
Pavarde2042         Vardas2042          6                  
Pavarde2043         Vardas2043          7                  
Pavarde2044         Vardas2044          7                  
Pavarde2045         Vardas2045          7                  
Pavarde2048         Vardas2048          6                  
Pavarde2049         Vardas2049          6                  
Pavarde2053         Vardas2053          7                  
Pavarde2054         Vardas2054          8                  
Pavarde2055         Vardas2055          7                  
Pavarde2056         Vardas2056          8                  
Pavarde2057         Vardas2057          9                  
Pavarde2058         Vardas2058          5                  
Pavarde2059         Vardas2059          5                  
Pavarde206          Vardas206           7                  
Pavarde2060         Vardas2060          6                  
Pavarde2061         Vardas2061          5                  
Pavarde2062         Vardas2062          5                  
Pavarde2065         Vardas2065          6                  
Pavarde2068         Vardas2068          5                  
Pavarde207          Vardas207           7                  
Pavarde2070         Vardas2070          5                  
Pavarde2072         Vardas2072          6                  
Pavarde2074         Vardas2074          7                  
Pavarde2077         Vardas2077          6                  
Pavarde2078         Vardas2078          6                  
Pavarde2081         Vardas2081          7                  
Pavarde2082         Vardas2082          7                  
Pavarde2083         Vardas2083          8                  
Pavarde2085         Vardas2085          7                  
Pavarde209          Vardas209           6                  
Pavarde2094         Vardas2094          5                  
Pavarde2097         Vardas2097          7                  
Pavarde21           Vardas21            6                  
Pavarde210          Vardas210           7                  
Pavarde2101         Vardas2101          8                  
Pavarde2103         Vardas2103          5                  
Pavarde2105         Vardas2105          8                  
Pavarde2106         Vardas2106          7                  
Pavarde2107         Vardas2107          8                  
Pavarde211          Vardas211           7                  
Pavarde2111         Vardas2111          6                  
Pavarde2112         Vardas2112          6                  
Pavarde2114         Vardas2114          7                  
Pavarde2115         Vardas2115          7                  
Pavarde2116         Vardas2116          6                  
Pavarde2117         Vardas2117          7                  
Pavarde2119         Vardas2119          7                  
Pavarde2121         Vardas2121          7                  
Pavarde2123         Vardas2123          7                  
Pavarde2126         Vardas2126          5                  
Pavarde2127         Vardas2127          7                  
Pavarde2129         Vardas2129          7                  
Pavarde2131         Vardas2131          6                  
Pavarde2132         Vardas2132          7                  
Pavarde2134         Vardas2134          6                  
Pavarde2139         Vardas2139          6                  
Pavarde2141         Vardas2141          6                  
Pavarde2143         Vardas2143          6                  
Pavarde2145         Vardas2145          8                  
Pavarde2147         Vardas2147          7                  
Pavarde2148         Vardas2148          7                  
Pavarde215          Vardas215           5                  
Pavarde2153         Vardas2153          5                  
Pavarde2154         Vardas2154          7                  
Pavarde2156         Vardas2156          7                  
Pavarde2158         Vardas2158          7                  
Pavarde2160         Vardas2160          6                  
Pavarde2161         Vardas2161          7                  
Pavarde2166         Vardas2166          6                  
Pavarde2168         Vardas2168          8                  
Pavarde2172         Vardas2172          7                  
Pavarde2173         Vardas2173          6                  
Pavarde2174         Vardas2174          8                  
Pavarde2175         Vardas2175          8                  
Pavarde2178         Vardas2178          7                  
Pavarde218          Vardas218           7                  
Pavarde2180         Vardas2180          5                  
Pavarde2181         Vardas2181          7                  
Pavarde2182         Vardas2182          8                  
Pavarde2183         Vardas2183          6                  
Pavarde219          Vardas219           7                  
Pavarde2190         Vardas2190          7                  
Pavarde2194         Vardas2194          8                  
Pavarde2199         Vardas2199          8                  
Pavarde22           Vardas22            5                  
Pavarde2200         Vardas2200          6                  
Pavarde2201         Vardas2201          5                  
Pavarde2203         Vardas2203          6                  
Pavarde2204         Vardas2204          6                  
Pavarde2206         Vardas2206          7                  
Pavarde2207         Vardas2207          5                  
Pavarde2208         Vardas2208          6                  
Pavarde221          Vardas221           5                  
Pavarde2212         Vardas2212          6                  
Pavarde2215         Vardas2215          7                  
Pavarde2216         Vardas2216          6                  
Pavarde2218         Vardas2218          6                  
Pavarde2219         Vardas2219          7                  
Pavarde222          Vardas222           5                  
Pavarde2221         Vardas2221          5                  
Pavarde2224         Vardas2224          8                  
Pavarde2225         Vardas2225          7                  
Pavarde2226         Vardas2226          7                  
Pavarde2228         Vardas2228          5                  
Pavarde2229         Vardas2229          5                  
Pavarde2231         Vardas2231          5                  
Pavarde2233         Vardas2233          6                  
Pavarde2234         Vardas2234          5                  
Pavarde2238         Vardas2238          5                  
Pavarde2242         Vardas2242          7                  
Pavarde2244         Vardas2244          6                  
Pavarde2246         Vardas2246          5                  
Pavarde2247         Vardas2247          8                  
Pavarde2248         Vardas2248          5                  
Pavarde2249         Vardas2249          5                  
Pavarde225          Vardas225           7                  
Pavarde2250         Vardas2250          6                  
Pavarde2251         Vardas2251          7                  
Pavarde2253         Vardas2253          6                  
Pavarde2254         Vardas2254          7                  
Pavarde2255         Vardas2255          7                  
Pavarde2256         Vardas2256          6                  
Pavarde2257         Vardas2257          6                  
Pavarde2258         Vardas2258          7                  
Pavarde2259         Vardas2259          6                  
Pavarde2264         Vardas2264          6                  
Pavarde2266         Vardas2266          6                  
Pavarde2268         Vardas2268          7                  
Pavarde2269         Vardas2269          8                  
Pavarde2273         Vardas2273          7                  
Pavarde2278         Vardas2278          6                  
Pavarde228          Vardas228           4                  
Pavarde2283         Vardas2283          7                  
Pavarde2285         Vardas2285          5                  
Pavarde2289         Vardas2289          6                  
Pavarde2294         Vardas2294          7                  
Pavarde2296         Vardas2296          7                  
Pavarde2297         Vardas2297          5                  
Pavarde2298         Vardas2298          5                  
Pavarde2299         Vardas2299          7                  
Pavarde2301         Vardas2301          6                  
Pavarde2302         Vardas2302          6                  
Pavarde2303         Vardas2303          7                  
Pavarde2304         Vardas2304          7                  
Pavarde2308         Vardas2308          6                  
Pavarde231          Vardas231           6                  
Pavarde2311         Vardas2311          6                  
